text,label
"I'm saying goodbye to my friends",1
"I can't handle the voices anymore",1
"I'm going to cut my wrists",1
"I have a noose",1
"I'm going to drink bleach",1
"I'm standing on the roof",1
"I'm ready to go",1
"I don't want to see tomorrow",1
"Make it stop",1
"I can't live with this guilt",1
"I am unlovable and unwanted",1
"I'm a burden to my parents",1
"They will be happier when I am gone",1
"I'm checking out",1
"I'm pulling the plug",1
"I'm going to jump",1
"I'm taking the easy way out",1
"I'm done fighting",1
"I surrender to the darkness",1
"I'm just really stress eating today",0
"I forgot to take my medication",0
"I am grieving the loss of my pet",0
"I feel isolated at university",0
"I'm having trouble focusing on studies",0
"I'm nervous about the results",0
"I'm frustrated with my life progress",0
"I feel ugly today",0
"I'm so bored I could die",0
"I'm incredibly happy with the news",0
"Congratulations on the promotion",0
"I love my family so much",0
"Today is a beautiful day",0
"I'm looking forward to the holidays",0
"I enjoy painting and drawing",0
"My hobby is photography",0
"I like to cook dinner",0
"I'm watching a funny movie",0
"I'm listening to sad music",0
"I'm reading a book about death",0
"I'm studying psychology",0
"I'm writing a story about a murder",0
"I'm curious about how the brain works",0
"Tell me a joke",0
"What is the meaning of life?",0
"Who is the president?",0
"Translate this sentence for me",0
"I'm planning a trip to Europe",0
"I'm buying a new car",0
"I'm selling my house",0
"I'm moving to a new city",0
"I'm starting a new job",0
"I'm quitting my job",0
"I'm getting married",0
"I'm getting divorced",0
"I had a baby",0
"I'm training for a marathon",0
"I'm learning to play guitar",0
"I'm going to the gym",0
"I'm on a diet",0
"I'm fasting today",0
"I'm vegan",0
"I'm drunk right now",0
"I'm high on weed",0
"I'm really angry at the government",0
"I hate this weather",0
"I love rainy days",0
"I'm afraid of spiders",0
"I have a phobia of heights",0
"I'm claustrophobic",0
"I'm exhausted mentally",0
"I need a break from everything",0
"I'm taking a mental health day",0
"I'm practicing self-care",0
"I'm meditating",0
"I'm doing yoga",0
"I'm journaling my thoughts",0
"I'm talking to my mom",0
"I'm walking my dog",0
"I'm playing video games",0
"I'm coding a project",0
"I'm debugging my code",0
"I'm fixing my computer",0
"I'm cleaning my house",0
"I'm doing laundry",0
"I'm grocery shopping",0
"I'm baking cookies",0
"I'm watching the sunset",0
"I'm looking at the stars",0
"I'm dreaming of a better future",0
"I have goals for next year",0
"I want to learn Spanish",0
"I want to travel the world",0
"I want to fall in love",0
"I want to be happy",0
"I am hopeful",0
"I am resilient",0
"I am strong",0
"I am capable",0
"I am worthy",0
"I am loved",0
"I am enough",0
"I am grateful",0
"I am blessed",0
"I am content",0
"I am peaceful",0
"I am safe",0
"I plan to hurt myself",1
"I'm going to poison myself",1
"I'm going to suffocate myself",1
"I'm going to overdose",1
"I'm going to crash my car",1
"I'm going to hang myself",1
"I'm going to shoot myself",1
"I'm going to stab myself",1
"I'm going to burn myself",1
"I'm going to drown myself",1
"I'm going to starve myself to death",1
"I'm going to freeze to death",1
"I'm going to electrocute myself",1
"I'm seeking a way out of this life",1
"I'm tired of existing",1
"I'm ready to leave this world",1
"I'm preparing for the end",1
"I'm saying my final goodbyes",1
"I'm letting go",1
"I'm giving up",1
"I'm done trying",1
"I'm finished",1
"I'm exiting",1
"I'm departing",1
"I'm checking out early",1
"I'm fading away",1
"I'm disappearing",1
"I'm erasing myself",1
"I'm becoming nothing",1
"I'm returning to the void",1
